"","Indirect","Direct"
"1",0.246567968170877,0.753432031829123
"2",0.262641774398514,0.737358225601486
"3",0.270272560989467,0.729727439010533
"4",0.659053599423543,0.340946400576457
"5",0.874332982948314,0.125667017051686
"6",0.985970497083678,0.0140295029163216
"7",0.999520993035914,0.000479006964085802
"8",0.999283144001001,0.000716855998998498
"9",0.999776421818149,0.000223578181851014
"10",0.999940739555694,5.9260444305827e-05
"11",0.999961928075936,3.8071924063802e-05
"12",0.999600960482767,0.000399039517232997
"13",0.997412512475217,0.00258748752478324
"14",0.997455000503583,0.00254499949641739
"15",0.86547758421896,0.13452241578104
"16",0.857533582662175,0.142466417337825
"17",0.848738573853847,0.151261426146153
"18",0.488319280527297,0.511680719472703
"19",0.0130213067670875,0.986978693232913
"20",0.00202068657585935,0.997979313424141
"21",0.000194822545137962,0.999805177454862
"22",1.18898379896953e-05,0.99998811016201
"23",5.06805804740577e-06,0.999994931941953
"24",1.65162087167491e-05,0.999983483791283
"25",0.546965599659903,0.453034400340097
"26",0.614194896262896,0.385805103737104
"27",0.0363678362080822,0.963632163791918
"28",0.0292394236974661,0.970760576302534
"29",0.288225787798461,0.711774212201539
"30",0.318592638369858,0.681407361630142
